trial,strategy,chars_sent,chars_landed,lost,extra,ms_show,ms_frame,ms_os_focus,ms_dom_focus,ms_first_char
1,layer-hideshow-warm,8,9,0,1,0.6,36.8,15.1,3.3,107.8
2,layer-hideshow-warm,8,8,0,0,0.3,20.0,6.3,5.4,103.5
3,layer-hideshow-warm,8,8,0,0,0.2,22.7,8.1,4.1,104.1
4,layer-hideshow-warm,8,8,0,0,0.4,19.5,25.6,4.8,104.9
5,layer-hideshow-warm,8,8,0,0,0.5,18.1,6.2,3.0,104.4
6,layer-hideshow-warm,8,8,0,0,0.4,21.4,3.7,4.2,103.1
7,layer-hideshow-warm,8,8,0,0,0.3,43.1,9.4,5.2,105.0
8,layer-hideshow-warm,8,8,0,0,0.4,18.4,7.8,4.8,103.8
9,layer-hideshow-warm,8,8,0,0,0.2,22.8,5.8,3.1,103.6
10,layer-hideshow-warm,8,8,0,0,0.3,16.5,5.7,2.7,104.6
11,layer-hideshow-warm,8,8,0,0,0.3,14.9,6.9,3.1,102.3
12,layer-hideshow-warm,8,8,0,0,0.2,12.4,19.6,2.6,103.9
13,layer-hideshow-warm,8,8,0,0,1.8,54.4,16.4,23.6,107.0
14,layer-hideshow-warm,8,8,0,0,0.3,22.0,9.0,5.7,106.1
15,layer-hideshow-warm,8,8,0,0,0.3,31.4,14.2,3.0,105.9
16,layer-hideshow-warm,8,8,0,0,0.3,17.1,4.3,3.0,102.9
17,layer-hideshow-warm,8,8,0,0,0.3,23.7,6.2,3.5,103.3
18,layer-hideshow-warm,8,8,0,0,0.4,23.4,6.2,3.7,103.3
19,layer-hideshow-warm,8,8,0,0,0.3,30.6,11.3,2.5,103.7
20,layer-hideshow-warm,8,8,0,0,0.3,30.1,4.7,3.2,102.9
