trial,strategy,chars_sent,chars_landed,lost,extra,ms_show,ms_frame,ms_os_focus,ms_dom_focus,ms_first_char
1,toplevel-hideshow-warm,8,8,0,0,0.3,50.2,6.0,27.9,238.8
2,toplevel-hideshow-warm,8,8,0,0,0.3,6.7,8.2,4.2,103.4
3,toplevel-hideshow-warm,8,8,0,0,0.2,5.4,9.6,2.0,102.7
4,toplevel-hideshow-warm,8,8,0,0,0.3,5.6,9.1,2.7,103.8
5,toplevel-hideshow-warm,8,8,0,0,0.2,11.3,10.4,4.7,104.2
6,toplevel-hideshow-warm,8,8,0,0,0.3,6.2,9.3,3.6,103.0
7,toplevel-hideshow-warm,8,8,0,0,0.4,6.0,11.4,2.9,104.2
8,toplevel-hideshow-warm,8,8,0,0,0.4,5.4,9.5,3.1,104.0
9,toplevel-hideshow-warm,8,8,0,0,0.4,5.2,10.3,2.5,104.5
10,toplevel-hideshow-warm,8,8,0,0,0.3,7.4,8.2,4.5,103.6
11,toplevel-hideshow-warm,8,8,0,0,0.3,9.4,9.9,4.5,103.7
12,toplevel-hideshow-warm,8,8,0,0,0.4,6.0,10.6,3.5,103.4
13,toplevel-hideshow-warm,8,8,0,0,0.2,6.7,7.2,4.1,103.7
14,toplevel-hideshow-warm,8,8,0,0,0.4,5.7,10.6,2.4,105.4
15,toplevel-hideshow-warm,8,8,0,0,0.4,5.8,9.1,2.2,103.5
16,toplevel-hideshow-warm,8,8,0,0,0.3,4.2,8.7,2.2,102.8
17,toplevel-hideshow-warm,8,8,0,0,0.3,5.3,10.8,2.7,103.6
18,toplevel-hideshow-warm,8,8,0,0,0.4,8.4,16.3,2.8,107.2
19,toplevel-hideshow-warm,8,8,0,0,0.2,3.9,7.3,1.6,103.0
20,toplevel-hideshow-warm,8,8,0,0,0.3,4.9,10.0,3.2,103.1
